country,iso_num,company,sector,emissions,share,rank
美国,840,Ovintiv,油气,0.0891,2.3,13
西班牙,724,Repsol,油气,0.0885,100.0,1
美国,840,Antero Resources,油气,0.0881,2.3,14
卢森堡,442,Eurasian Resources Group,煤炭,0.0879,100.0,1
俄罗斯,643,Elgaugol,煤炭,0.0822,2.2,8
俄罗斯,643,Tatneft,油气,0.0820,2.2,9
美国,840,Alliance Resource Partners,油气,0.0807,2.1,15
澳大利亚,36,Woodside Energy,油气,0.0794,29.0,2
中国,156,China Pingmei Shenma Holding Group,煤炭,0.0792,0.7,26
阿根廷,32,YPF,油气,0.0750,100.0,1
美国,840,American Consolidated Natural Resources,煤炭,0.0739,1.9,16
乌兹别克斯坦,860,Uzbekneftegaz,油气,0.0723,100.0,1
美国,840,Navajo Transitional Energy Company,煤炭,0.0719,1.9,17
厄瓜多尔,218,PetroEcuador,油气,0.0699,100.0,1
美国,840,APA Corporation,油气,0.0681,1.8,18
美国,840,Continental Resources,油气,0.0649,1.7,19
俄罗斯,643,Sibanthracite Group,煤炭,0.0620,1.7,10
朝鲜,408,North Korea,煤炭,0.0608,100.0,1
德国,276,RWE,煤炭,0.0587,44.1,1
澳大利亚,36,Whitehaven Coal,煤炭,0.0572,20.9,3
中国,156,Inner Mongolia Mengtai Group,煤炭,0.0568,0.5,27
阿联酋,784,Mubadala,油气,0.0564,8.3,2
中国,156,Huaibei Mining Group,煤炭,0.0557,0.5,28
中国,156,Huating Coal Industry Group,煤炭,0.0551,0.5,29
俄罗斯,643,EVRAZ,煤炭,0.0549,1.5,11
中国,156,Inner Mongolia Yidong Resources Group,煤炭,0.0539,0.5,30
加拿大,124,ARC Resources,油气,0.0537,8.5,5
印度,356,UltraTech Cement,水泥,0.0528,2.3,6
波兰,616,PGE Group,煤炭,0.0522,31.5,1
奥地利,40,OMV,油气,0.0510,100.0,1
中国,156,Xuzhou Mining Group,煤炭,0.0497,0.5,31
乌克兰,804,DTEK,煤炭,0.0495,50.5,1
英国,826,Anglo American,煤炭,0.0474,5.7,3
波兰,616,Polska Grupa Gornicza (PGG),煤炭,0.0461,27.8,2
瑞士,756,Holcim Group,水泥,0.0458,12.1,2
俄罗斯,643,Stroyservis,煤炭,0.0424,1.1,12
中国,156,Guizhou Panjiang Coal Power Group,煤炭,0.0419,0.4,32
美国,840,Alpha Metallurgical Resources,煤炭,0.0417,1.1,20
俄罗斯,643,En+ Group,煤炭,0.0410,1.1,13
德国,276,Heidelberg Materials,水泥,0.0401,30.2,2
美国,840,CNX Resources,油气,0.0398,1.0,21
加拿大,124,Teck Resources,煤炭,0.0371,5.9,6
乌克兰,804,Naftogaz,油气,0.0358,36.5,2
澳大利亚,36,Santos,油气,0.0343,12.5,4
德国,276,BASF,油气,0.0342,25.7,3
印度,356,JSW,煤炭,0.0337,1.5,7
波兰,616,Orlen,油气,0.0325,19.6,3
美国,840,NACCO Industries,油气,0.0312,0.8,22
俄罗斯,643,SDS Coal,煤炭,0.0295,0.8,14
美国,840,Murphy Oil,油气,0.0280,0.7,23
俄罗斯,643,Mechel,煤炭,0.0279,0.8,15
美国,840,SM Energy,油气,0.0279,0.7,24
俄罗斯,643,Severstal,煤炭,0.0247,0.7,16
俄罗斯,643,Novaya Gornaya,煤炭,0.0245,0.7,17
俄罗斯,643,Russian Coal,煤炭,0.0244,0.7,18
波兰,616,LW Bogdanka,煤炭,0.0214,12.9,4
哈萨克斯坦,398,Kazakhmys Holding Group,煤炭,0.0204,8.7,2
俄罗斯,643,TALTEK,煤炭,0.0196,0.5,19
捷克,203,Severoceske doly,煤炭,0.0187,54.2,1
墨西哥,484,Cemex,水泥,0.0169,4.3,2
爱尔兰,372,CRH,水泥,0.0152,100.0,1
美国,840,Wolverine Fuels,煤炭,0.0150,0.4,25
俄罗斯,643,Kuzbasskaya Toplivnaya,煤炭,0.0138,0.4,20
波兰,616,Poludniowy Koncern Weglowy,煤炭,0.0134,8.1,5
乌克兰,804,Metinvest,煤炭,0.0127,13.0,3
日本,392,Taiheiyo Cement,水泥,0.0121,6.2,3
美国,840,Westmoreland Mining,煤炭,0.0121,0.3,26
美国,840,Kiewit Mining Group,煤炭,0.0119,0.3,27
美国,840,Vistra,煤炭,0.0108,0.3,28
叙利亚,760,Syrian Petroleum,油气,0.0097,100.0,1
捷克,203,Sev.en Group,煤炭,0.0094,27.1,2
英国,826,Tullow Oil,油气,0.0090,1.1,4
加拿大,124,Obsidian Energy,油气,0.0056,0.9,7
捷克,203,OKD,煤炭,0.0035,10.1,3
捷克,203,Sokolovska uhelna,煤炭,0.0029,8.5,4
