"country","iso3","year","region","population","production_co2","consumption_co2","net_embodied_carbon","production_co2_per_capita","consumption_co2_per_capita","net_embodied_carbon_per_capita","responsibility_type","longitude","latitude","iso_num"
"Poland","POL","2004","Europe","38167568","0.324","0.295","-0.029","8.48","7.72","-0.76","net_exporter","20","52","616"
"Portugal","PRT","2004","Europe","10481386","0.067","0.112","0.045","6.42","10.65","4.23","net_importer","-8","39","620"
"Romania","ROU","2004","Europe","21403215","0.103","0.101","-0.002","4.82","4.74","-0.08","balanced","25","46","642"
"Russia","RUS","2004","Europe/Asia","145180091","1.545","1.195","-0.35","10.64","8.23","-2.41","net_exporter","90","60","643"
"Saudi Arabia","SAU","2004","Middle East","19669486","0.408","0.355","-0.053","20.73","18.03","-2.7","net_exporter","45","24","682"
"South Africa","ZAF","2004","Africa","48991420","0.449","0.319","-0.13","9.17","6.51","-2.66","net_exporter","24","-29","710"
"South Korea","KOR","2004","Asia","47697076","0.491","0.563","0.072","10.3","11.8","1.5","net_importer","128","36","410"
"Spain","ESP","2004","Europe","43234562","0.352","0.392","0.04","8.14","9.07","0.93","net_importer","-4","40","724"
"Sweden","SWE","2004","Europe","8993805","0.056","0.084","0.028","6.27","9.38","3.11","net_importer","15","62","752"
"Switzerland","CHE","2004","Europe","7384196","0.045","0.103","0.058","6.13","13.91","7.78","net_importer","8","47","756"
"Thailand","THA","2004","Asia","65452049","0.207","0.207","0","3.17","3.17","0","balanced","101","15","764"
"Turkey","TUR","2004","Europe/Asia","68592621","0.248","0.283","0.035","3.61","4.12","0.51","net_importer","35","39","792"
"Ukraine","UKR","2004","Europe","47979502","0.311","0.205","-0.106","6.47","4.28","-2.19","net_exporter","31","49","804"
"United Arab Emirates","ARE","2004","Middle East","4428964","0.112","0.134","0.022","25.39","30.15","4.76","net_importer","54","24","784"
"United Kingdom","GBR","2004","Europe","60169964","0.573","0.775","0.202","9.53","12.87","3.34","net_importer","-2","54","826"
"United States","USA","2004","North America","292786248","6.112","6.556","0.444","20.87","22.39","1.52","net_importer","-98","39","840"
"Vietnam","VNM","2004","Asia","80338977","0.089","0.067","-0.022","1.11","0.83","-0.28","net_exporter","108","16","704"
"Argentina","ARG","2005","South America","39216786","0.162","0.147","-0.015","4.12","3.76","-0.36","net_exporter","-64","-34","032"
"Australia","AUS","2005","Oceania","20294490","0.385","0.352","-0.033","18.97","17.33","-1.64","net_exporter","134","-25","036"
"Austria","AUT","2005","Europe","8229204","0.079","0.105","0.026","9.61","12.77","3.16","net_importer","14","47","040"
"Bangladesh","BGD","2005","Asia","144715789","0.038","0.04","0.002","0.26","0.27","0.01","balanced","90","24","050"
"Belgium","BEL","2005","Europe","10478883","0.126","0.213","0.087","11.99","20.37","8.38","net_importer","4","51","056"
"Brazil","BRA","2005","South America","184688101","0.364","0.349","-0.015","1.97","1.89","-0.08","balanced","-52","-10","076"
"Canada","CAN","2005","North America","32440172","0.57","0.616","0.046","17.58","18.99","1.41","net_importer","-106","56","124"
"Chile","CHL","2005","South America","16348780","0.061","0.063","0.002","3.74","3.86","0.12","balanced","-71","-30","152"
"China","CHN","2005","Asia","1310027135","5.882","4.647","-1.235","4.49","3.55","-0.94","net_exporter","104","35","156"
"Czechia","CZE","2005","Europe","10280155","0.126","0.111","-0.015","12.23","10.84","-1.39","net_exporter","16","49","203"
"Denmark","DNK","2005","Europe","5419550","0.052","0.067","0.015","9.51","12.41","2.9","net_importer","10","56","208"
"Egypt","EGY","2005","Africa","81101012","0.167","0.148","-0.019","2.06","1.82","-0.24","net_exporter","30","27","818"
"Finland","FIN","2005","Europe","5246078","0.057","0.084","0.027","10.88","15.92","5.04","net_importer","26","64","246"
"France","FRA","2005","Europe","61625031","0.416","0.545","0.129","6.76","8.85","2.09","net_importer","2","46","250"
"Germany","DEU","2005","Europe","82046733","0.868","1.045","0.177","10.58","12.74","2.16","net_importer","10","51","276"
"Greece","GRC","2005","Europe","10981340","0.114","0.126","0.012","10.37","11.44","1.07","net_importer","22","39","300"
"Hungary","HUN","2005","Europe","10065703","0.06","0.089","0.029","5.97","8.84","2.87","net_importer","20","47","348"
"India","IND","2005","Asia","1154676321","1.195","1.105","-0.09","1.04","0.96","-0.08","balanced","78","22","356"
"Indonesia","IDN","2005","Asia","230871648","0.347","0.324","-0.023","1.5","1.4","-0.1","balanced","113","-2","360"
"Iran","IRN","2005","Middle East","71828455","0.467","0.396","-0.071","6.5","5.52","-0.98","net_exporter","53","32","364"
"Ireland","IRL","2005","Europe","4155283","0.048","0.07","0.022","11.59","16.74","5.15","net_importer","-8","53","372"
"Israel","ISR","2005","Middle East","6728212","0.057","0.073","0.016","8.4","10.8","2.4","net_importer","35","31","376"
"Italy","ITA","2005","Europe","58519696","0.501","0.606","0.105","8.57","10.35","1.78","net_importer","12","43","380"
"Japan","JPN","2005","Asia","127913331","1.286","1.512","0.226","10.06","11.82","1.76","net_importer","138","36","392"
"Kazakhstan","KAZ","2005","Asia","15968118","0.198","0.151","-0.047","12.43","9.43","-3","net_exporter","68","48","398"
"Malaysia","MYS","2005","Asia","25836075","0.17","0.143","-0.027","6.58","5.53","-1.05","net_exporter","102","4","458"
"Mexico","MEX","2005","North America","105811504","0.463","0.513","0.05","4.38","4.85","0.47","net_importer","-102","23","484"
"Netherlands","NLD","2005","Europe","16465707","0.178","0.204","0.026","10.82","12.37","1.55","net_importer","5","52","528"
"New Zealand","NZL","2005","Oceania","4135002","0.037","0.044","0.007","9.05","10.64","1.59","net_importer","174","-41","554"
"Nigeria","NGA","2005","Africa","145017256","0.102","0.09","-0.012","0.7","0.62","-0.08","balanced","8","9","566"
"Norway","NOR","2005","Europe","4623120","0.043","0.051","0.008","9.36","10.96","1.6","net_importer","8","61","578"
"Pakistan","PAK","2005","Asia","175453212","0.13","0.147","0.017","0.74","0.84","0.1","balanced","70","30","586"
"Philippines","PHL","2005","Asia","88015959","0.072","0.094","0.022","0.82","1.07","0.25","net_importer","122","13","608"
"Poland","POL","2005","Europe","38124377","0.323","0.296","-0.027","8.46","7.75","-0.71","net_exporter","20","52","616"
"Portugal","PRT","2005","Europe","10502993","0.07","0.128","0.058","6.63","12.2","5.57","net_importer","-8","39","620"
"Romania","ROU","2005","Europe","21213395","0.101","0.103","0.002","4.78","4.84","0.06","balanced","25","46","642"
"Russia","RUS","2005","Europe/Asia","144597886","1.564","1.206","-0.358","10.82","8.34","-2.48","net_exporter","90","60","643"
"Saudi Arabia","SAU","2005","Middle East","20559886","0.412","0.356","-0.056","20.05","17.29","-2.76","net_exporter","45","24","682"
"South Africa","ZAF","2005","Africa","49490041","0.416","0.296","-0.12","8.41","5.98","-2.43","net_exporter","24","-29","710"
"South Korea","KOR","2005","Asia","47851646","0.499","0.594","0.095","10.42","12.42","2","net_importer","128","36","410"
"Spain","ESP","2005","Europe","43958883","0.367","0.422","0.055","8.36","9.6","1.24","net_importer","-4","40","724"
"Sweden","SWE","2005","Europe","9029771","0.054","0.087","0.033","5.96","9.6","3.64","net_importer","15","62","752"
"Switzerland","CHE","2005","Europe","7431824","0.046","0.111","0.065","6.16","14.93","8.77","net_importer","8","47","756"
"Thailand","THA","2005","Asia","66017415","0.214","0.222","0.008","3.25","3.36","0.11","balanced","101","15","764"
"Turkey","TUR","2005","Europe/Asia","69329557","0.268","0.309","0.041","3.86","4.46","0.6","net_importer","35","39","792"
"Ukraine","UKR","2005","Europe","47585558","0.314","0.235","-0.079","6.59","4.94","-1.65","net_exporter","31","49","804"
"United Arab Emirates","ARE","2005","Middle East","4664797","0.115","0.148","0.033","24.71","31.75","7.04","net_importer","54","24","784"
"United Kingdom","GBR","2005","Europe","60596107","0.57","0.766","0.196","9.41","12.64","3.23","net_importer","-2","54","826"
"United States","USA","2005","North America","295716666","6.127","6.656","0.529","20.72","22.51","1.79","net_importer","-98","39","840"
"Vietnam","VNM","2005","Asia","81088309","0.096","0.071","-0.025","1.18","0.88","-0.3","net_exporter","108","16","704"
"Argentina","ARG","2006","South America","39622113","0.174","0.156","-0.018","4.4","3.93","-0.47","net_exporter","-64","-34","032"
"Australia","AUS","2006","Oceania","20590566","0.391","0.364","-0.027","19.01","17.68","-1.33","net_exporter","134","-25","036"
"Austria","AUT","2006","Europe","8269901","0.077","0.104","0.027","9.29","12.62","3.33","net_importer","14","47","040"
"Bangladesh","BGD","2006","Asia","146405983","0.042","0.042","0","0.29","0.29","0","balanced","90","24","050"
"Belgium","BEL","2006","Europe","10548445","0.124","0.22","0.096","11.75","20.83","9.08","net_importer","4","51","056"
"Brazil","BRA","2006","South America","186653099","0.369","0.36","-0.009","1.98","1.93","-0.05","balanced","-52","-10","076"
"Canada","CAN","2006","North America","32759174","0.566","0.593","0.027","17.29","18.11","0.82","net_importer","-106","56","124"
"Chile","CHL","2006","South America","16509195","0.064","0.066","0.002","3.88","4.02","0.14","balanced","-71","-30","152"
"China","CHN","2006","Asia","1318054030","6.486","5.064","-1.422","4.92","3.84","-1.08","net_exporter","104","35","156"
"Czechia","CZE","2006","Europe","10304592","0.127","0.116","-0.011","12.28","11.25","-1.03","net_exporter","16","49","203"
"Denmark","DNK","2006","Europe","5437425","0.06","0.074","0.014","10.94","13.64","2.7","net_importer","10","56","208"
"Egypt","EGY","2006","Africa","82700404","0.178","0.16","-0.018","2.16","1.94","-0.22","net_exporter","30","27","818"
"Finland","FIN","2006","Europe","5266248","0.068","0.09","0.022","12.98","17.15","4.17","net_importer","26","64","246"
"France","FRA","2006","Europe","62049831","0.407","0.544","0.137","6.55","8.77","2.22","net_importer","2","46","250"
"Germany","DEU","2006","Europe","81701971","0.886","1.047","0.161","10.85","12.82","1.97","net_importer","10","51","276"
"Greece","GRC","2006","Europe","11016107","0.112","0.128","0.016","10.2","11.63","1.43","net_importer","22","39","300"
"Hungary","HUN","2006","Europe","10049946","0.06","0.091","0.031","5.92","9.05","3.13","net_importer","20","47","348"
"India","IND","2006","Asia","1172878888","1.293","1.173","-0.12","1.1","1","-0.1","balanced","78","22","356"
"Indonesia","IDN","2006","Asia","233951650","0.346","0.332","-0.014","1.48","1.42","-0.06","balanced","113","-2","360"
"Iran","IRN","2006","Middle East","73392747","0.501","0.425","-0.076","6.83","5.78","-1.05","net_exporter","53","32","364"
"Ireland","IRL","2006","Europe","4268775","0.048","0.071","0.023","11.15","16.55","5.4","net_importer","-8","53","372"
"Israel","ISR","2006","Middle East","6844029","0.062","0.081","0.019","9.08","11.8","2.72","net_importer","35","31","376"
"Italy","ITA","2006","Europe","58754434","0.496","0.624","0.128","8.44","10.62","2.18","net_importer","12","43","380"
"Japan","JPN","2006","Asia","127997247","1.263","1.485","0.222","9.87","11.6","1.73","net_importer","138","36","392"
"Kazakhstan","KAZ","2006","Asia","16103718","0.22","0.179","-0.041","13.64","11.09","-2.55","net_exporter","68","48","398"
"Malaysia","MYS","2006","Asia","26417909","0.17","0.145","-0.025","6.44","5.5","-0.94","net_exporter","102","4","458"
"Mexico","MEX","2006","North America","107253666","0.475","0.53","0.055","4.42","4.94","0.52","net_importer","-102","23","484"
"Netherlands","NLD","2006","Europe","16493851","0.173","0.213","0.04","10.51","12.9","2.39","net_importer","5","52","528"
"New Zealand","NZL","2006","Oceania","4181943","0.037","0.043","0.006","8.92","10.18","1.26","net_importer","174","-41","554"
"Nigeria","NGA","2006","Africa","149077335","0.09","0.066","-0.024","0.6","0.44","-0.16","balanced","8","9","566"
"Norway","NOR","2006","Europe","4660487","0.044","0.057","0.013","9.41","12.15","2.74","net_importer","8","61","578"
"Pakistan","PAK","2006","Asia","179682690","0.138","0.155","0.017","0.77","0.86","0.09","balanced","70","30","586"
"Philippines","PHL","2006","Asia","89508992","0.066","0.085","0.019","0.73","0.95","0.22","net_importer","122","13","608"
"Poland","POL","2006","Europe","38071169","0.336","0.312","-0.024","8.84","8.19","-0.65","net_exporter","20","52","616"
"Portugal","PRT","2006","Europe","10524123","0.065","0.118","0.053","6.16","11.25","5.09","net_importer","-8","39","620"
"Romania","ROU","2006","Europe","21035732","0.104","0.105","0.001","4.96","4.97","0.01","balanced","25","46","642"
"Russia","RUS","2006","Europe/Asia","144102948","1.623","1.236","-0.387","11.27","8.58","-2.69","net_exporter","90","60","643"
"Saudi Arabia","SAU","2006","Middle East","21459141","0.445","0.387","-0.058","20.74","18.02","-2.72","net_exporter","45","24","682"
"South Africa","ZAF","2006","Africa","49998271","0.447","0.334","-0.113","8.94","6.69","-2.25","net_exporter","24","-29","710"
"South Korea","KOR","2006","Asia","48006518","0.503","0.612","0.109","10.49","12.76","2.27","net_importer","128","36","410"
"Spain","ESP","2006","Europe","44695446","0.359","0.423","0.064","8.03","9.48","1.45","net_importer","-4","40","724"
"Sweden","SWE","2006","Europe","9080628","0.054","0.088","0.034","5.91","9.7","3.79","net_importer","15","62","752"
"Switzerland","CHE","2006","Europe","7478514","0.045","0.123","0.078","6.07","16.45","10.38","net_importer","8","47","756"
"Thailand","THA","2006","Asia","66567685","0.216","0.218","0.002","3.24","3.28","0.04","balanced","101","15","764"
"Turkey","TUR","2006","Europe/Asia","70045351","0.285","0.338","0.053","4.07","4.82","0.75","net_importer","35","39","792"
"Ukraine","UKR","2006","Europe","47278691","0.333","0.258","-0.075","7.04","5.45","-1.59","net_exporter","31","49","804"
"United Arab Emirates","ARE","2006","Middle East","5009106","0.123","0.171","0.048","24.5","34.07","9.57","net_importer","54","24","784"
"United Kingdom","GBR","2006","Europe","61051093","0.568","0.767","0.199","9.3","12.56","3.26","net_importer","-2","54","826"
"United States","USA","2006","North America","298730208","6.045","6.619","0.574","20.24","22.16","1.92","net_importer","-98","39","840"
"Vietnam","VNM","2006","Asia","82167901","0.1","0.074","-0.026","1.21","0.9","-0.31","net_exporter","108","16","704"
"Argentina","ARG","2007","South America","40016767","0.174","0.161","-0.013","4.34","4.03","-0.31","net_exporter","-64","-34","032"
"Australia","AUS","2007","Oceania","20954545","0.399","0.376","-0.023","19.04","17.96","-1.08","net_exporter","134","-25","036"
"Austria","AUT","2007","Europe","8296948","0.074","0.102","0.028","8.93","12.34","3.41","net_importer","14","47","040"
"Bangladesh","BGD","2007","Asia","147989282","0.043","0.043","0","0.29","0.29","0","balanced","90","24","050"
"Belgium","BEL","2007","Europe","10625488","0.12","0.227","0.107","11.34","21.37","10.03","net_importer","4","51","056"
"Brazil","BRA","2007","South America","188552311","0.391","0.394","0.003","2.07","2.09","0.02","balanced","-52","-10","076"
"Canada","CAN","2007","North America","33092171","0.59","0.618","0.028","17.83","18.67","0.84","net_importer","-106","56","124"
"Chile","CHL","2007","South America","16671571","0.07","0.073","0.003","4.23","4.38","0.15","balanced","-71","-30","152"
"China","CHN","2007","Asia","1325813576","6.975","5.469","-1.506","5.26","4.12","-1.14","net_exporter","104","35","156"
"Czechia","CZE","2007","Europe","10337539","0.128","0.125","-0.003","12.42","12.07","-0.35","net_exporter","16","49","203"
"Denmark","DNK","2007","Europe","5461604","0.055","0.072","0.017","10.02","13.14","3.12","net_importer","10","56","208"
"Egypt","EGY","2007","Africa","84276224","0.189","0.174","-0.015","2.25","2.07","-0.18","balanced","30","27","818"
"Finland","FIN","2007","Europe","5288715","0.067","0.089","0.022","12.62","16.9","4.28","net_importer","26","64","246"
"France","FRA","2007","Europe","62432438","0.396","0.545","0.149","6.35","8.73","2.38","net_importer","2","46","250"
"Germany","DEU","2007","Europe","81298546","0.846","1.035","0.189","10.41","12.73","2.32","net_importer","10","51","276"
"Greece","GRC","2007","Europe","11045737","0.115","0.131","0.016","10.37","11.9","1.53","net_importer","22","39","300"
"Hungary","HUN","2007","Europe","10034084","0.058","0.097","0.039","5.83","9.7","3.87","net_importer","20","47","348"
"India","IND","2007","Asia","1190676028","1.393","1.291","-0.102","1.17","1.08","-0.09","balanced","78","22","356"
"Indonesia","IDN","2007","Asia","237062338","0.388","0.372","-0.016","1.63","1.57","-0.06","balanced","113","-2","360"
"Iran","IRN","2007","Middle East","74602648","0.508","0.484","-0.024","6.81","6.48","-0.33","net_exporter","53","32","364"
"Ireland","IRL","2007","Europe","4393518","0.048","0.07","0.022","10.85","16.03","5.18","net_importer","-8","53","372"
"Israel","ISR","2007","Middle East","6962456","0.063","0.082","0.019","9.02","11.81","2.79","net_importer","35","31","376"
"Italy","ITA","2007","Europe","59108723","0.49","0.615","0.125","8.29","10.4","2.11","net_importer","12","43","380"
"Japan","JPN","2007","Asia","128087683","1.299","1.486","0.187","10.14","11.61","1.47","net_importer","138","36","392"
"Kazakhstan","KAZ","2007","Asia","16257212","0.226","0.189","-0.037","13.88","11.64","-2.24","net_exporter","68","48","398"
"Malaysia","MYS","2007","Asia","26998383","0.175","0.157","-0.018","6.5","5.83","-0.67","net_exporter","102","4","458"
"Mexico","MEX","2007","North America","108774356","0.474","0.523","0.049","4.35","4.8","0.45","net_importer","-102","23","484"
"Netherlands","NLD","2007","Europe","16531360","0.173","0.185","0.012","10.47","11.18","0.71","net_importer","5","52","528"
"New Zealand","NZL","2007","Oceania","4223270","0.036","0.043","0.007","8.61","10.22","1.61","net_importer","174","-41","554"
"Nigeria","NGA","2007","Africa","153267254","0.082","0.077","-0.005","0.54","0.5","-0.04","balanced","8","9","566"
"Norway","NOR","2007","Europe","4709017","0.046","0.061","0.015","9.68","13.04","3.36","net_importer","8","61","578"
"Pakistan","PAK","2007","Asia","184493231","0.148","0.165","0.017","0.8","0.9","0.1","balanced","70","30","586"
"Philippines","PHL","2007","Asia","91075180","0.07","0.092","0.022","0.77","1.02","0.25","net_importer","122","13","608"
"Poland","POL","2007","Europe","38020420","0.336","0.319","-0.017","8.83","8.39","-0.44","net_exporter","20","52","616"
"Portugal","PRT","2007","Europe","10546822","0.062","0.119","0.057","5.91","11.28","5.37","net_importer","-8","39","620"
"Romania","ROU","2007","Europe","20870714","0.108","0.114","0.006","5.2","5.45","0.25","net_importer","25","46","642"
"Russia","RUS","2007","Europe/Asia","143859767","1.624","1.307","-0.317","11.29","9.08","-2.21","net_exporter","90","60","643"
"Saudi Arabia","SAU","2007","Middle East","22368313","0.423","0.382","-0.041","18.92","17.09","-1.83","net_exporter","45","24","682"
"South Africa","ZAF","2007","Africa","50528575","0.465","0.341","-0.124","9.2","6.75","-2.45","net_exporter","24","-29","710"
"South Korea","KOR","2007","Asia","48178122","0.522","0.642","0.12","10.83","13.33","2.5","net_importer","128","36","410"
"Spain","ESP","2007","Europe","45516501","0.366","0.433","0.067","8.05","9.52","1.47","net_importer","-4","40","724"
"Sweden","SWE","2007","Europe","9148280","0.053","0.089","0.036","5.78","9.72","3.94","net_importer","15","62","752"
"Switzerland","CHE","2007","Europe","7545386","0.043","0.117","0.074","5.75","15.49","9.74","net_importer","8","47","756"
"Thailand","THA","2007","Asia","67102388","0.224","0.224","0","3.34","3.33","-0.01","balanced","101","15","764"
"Turkey","TUR","2007","Europe/Asia","70750593","0.316","0.373","0.057","4.47","5.27","0.8","net_importer","35","39","792"
"Ukraine","UKR","2007","Europe","47062802","0.337","0.284","-0.053","7.16","6.04","-1.12","net_exporter","31","49","804"
"United Arab Emirates","ARE","2007","Middle East","5624640","0.134","0.189","0.055","23.84","33.64","9.8","net_importer","54","24","784"
"United Kingdom","GBR","2007","Europe","61535859","0.56","0.765","0.205","9.09","12.43","3.34","net_importer","-2","54","826"
"United States","USA","2007","North America","301844223","6.122","6.527","0.405","20.28","21.62","1.34","net_importer","-98","39","840"
"Vietnam","VNM","2007","Asia","83633374","0.101","0.079","-0.022","1.21","0.94","-0.27","net_exporter","108","16","704"
"Argentina","ARG","2008","South America","40424151","0.188","0.179","-0.009","4.64","4.42","-0.22","net_exporter","-64","-34","032"
"Australia","AUS","2008","Oceania","21370595","0.404","0.372","-0.032","18.92","17.43","-1.49","net_exporter","134","-25","036"
"Austria","AUT","2008","Europe","8323250","0.073","0.1","0.027","8.83","12.03","3.2","net_importer","14","47","040"
"Bangladesh","BGD","2008","Asia","149474264","0.045","0.045","0","0.3","0.3","0","balanced","90","24","050"
"Belgium","BEL","2008","Europe","10709711","0.12","0.232","0.112","11.22","21.67","10.45","net_importer","4","51","056"
"Brazil","BRA","2008","South America","190367297","0.413","0.446","0.033","2.17","2.34","0.17","balanced","-52","-10","076"
"Canada","CAN","2008","North America","33449088","0.574","0.6","0.026","17.17","17.95","0.78","net_importer","-106","56","124"
"Chile","CHL","2008","South America","16838987","0.071","0.084","0.013","4.19","5.02","0.83","net_importer","-71","-30","152"
"China","CHN","2008","Asia","1333821011","7.492","5.888","-1.604","5.62","4.41","-1.21","net_exporter","104","35","156"
"Czechia","CZE","2008","Europe","10378298","0.123","0.128","0.005","11.84","12.32","0.48","net_importer","16","49","203"
"Denmark","DNK","2008","Europe","5493762","0.051","0.07","0.019","9.33","12.79","3.46","net_importer","10","56","208"
"Egypt","EGY","2008","Africa","85864791","0.196","0.184","-0.012","2.28","2.14","-0.14","balanced","30","27","818"
"Finland","FIN","2008","Europe","5313379","0.059","0.084","0.025","11.03","15.85","4.82","net_importer","26","64","246"
"France","FRA","2008","Europe","62780187","0.39","0.543","0.153","6.21","8.65","2.44","net_importer","2","46","250"
"Germany","DEU","2008","Europe","81110780","0.857","1.037","0.18","10.56","12.78","2.22","net_importer","10","51","276"
"Greece","GRC","2008","Europe","11076874","0.111","0.131","0.02","10.03","11.85","1.82","net_importer","22","39","300"
"Hungary","HUN","2008","Europe","10016653","0.057","0.1","0.043","5.71","9.95","4.24","net_importer","20","47","348"
"India","IND","2008","Asia","1207930960","1.49","1.373","-0.117","1.23","1.14","-0.09","balanced","78","22","356"
"Indonesia","IDN","2008","Asia","240157902","0.365","0.373","0.008","1.52","1.55","0.03","balanced","113","-2","360"
"Iran","IRN","2008","Middle East","75514201","0.529","0.509","-0.02","7","6.73","-0.27","net_exporter","53","32","364"
"Ireland","IRL","2008","Europe","4485992","0.047","0.064","0.017","10.56","14.27","3.71","net_importer","-8","53","372"
"Israel","ISR","2008","Middle East","7082621","0.068","0.09","0.022","9.6","12.75","3.15","net_importer","35","31","376"
"Italy","ITA","2008","Europe","59561687","0.478","0.601","0.123","8.03","10.09","2.06","net_importer","12","43","380"
"Japan","JPN","2008","Asia","128155992","1.229","1.467","0.238","9.59","11.44","1.85","net_importer","138","36","392"
"Kazakhstan","KAZ","2008","Asia","16426527","0.226","0.177","-0.049","13.76","10.76","-3","net_exporter","68","48","398"
"Malaysia","MYS","2008","Asia","27570052","0.193","0.172","-0.021","6.99","6.23","-0.76","net_exporter","102","4","458"
"Mexico","MEX","2008","North America","110374286","0.473","0.529","0.056","4.29","4.79","0.5","net_importer","-102","23","484"
"Netherlands","NLD","2008","Europe","16597259","0.176","0.199","0.023","10.6","11.96","1.36","net_importer","5","52","528"
"New Zealand","NZL","2008","Oceania","4261819","0.037","0.043","0.006","8.8","10.14","1.34","net_importer","174","-41","554"
"Nigeria","NGA","2008","Africa","157595014","0.086","0.083","-0.003","0.55","0.52","-0.03","balanced","8","9","566"
"Norway","NOR","2008","Europe","4768097","0.045","0.057","0.012","9.37","12.05","2.68","net_importer","8","61","578"
"Pakistan","PAK","2008","Asia","189499112","0.148","0.165","0.017","0.78","0.87","0.09","balanced","70","30","586"
"Philippines","PHL","2008","Asia","92699091","0.077","0.102","0.025","0.83","1.1","0.27","net_importer","122","13","608"
"Poland","POL","2008","Europe","37995902","0.329","0.323","-0.006","8.67","8.49","-0.18","balanced","20","52","616"
"Portugal","PRT","2008","Europe","10564086","0.06","0.117","0.057","5.68","11.08","5.4","net_importer","-8","39","620"
"Romania","ROU","2008","Europe","20718745","0.107","0.115","0.008","5.16","5.56","0.4","net_importer","25","46","642"
"Russia","RUS","2008","Europe/Asia","143811837","1.653","1.327","-0.326","11.49","9.23","-2.26","net_exporter","90","60","643"
"Saudi Arabia","SAU","2008","Middle East","23287884","0.469","0.426","-0.043","20.16","18.29","-1.87","net_exporter","45","24","682"
"South Africa","ZAF","2008","Africa","51114595","0.495","0.341","-0.154","9.68","6.67","-3.01","net_exporter","24","-29","710"
"South Korea","KOR","2008","Asia","48356485","0.533","0.644","0.111","11.02","13.33","2.31","net_importer","128","36","410"
"Spain","ESP","2008","Europe","46235055","0.335","0.402","0.067","7.25","8.69","1.44","net_importer","-4","40","724"
"Sweden","SWE","2008","Europe","9219903","0.051","0.087","0.036","5.51","9.41","3.9","net_importer","15","62","752"
"Switzerland","CHE","2008","Europe","7641730","0.045","0.111","0.066","5.85","14.54","8.69","net_importer","8","47","756"
"Thailand","THA","2008","Asia","67619835","0.224","0.235","0.011","3.32","3.47","0.15","balanced","101","15","764"
"Turkey","TUR","2008","Europe/Asia","71562343","0.313","0.36","0.047","4.37","5.03","0.66","net_importer","35","39","792"
"Ukraine","UKR","2008","Europe","46819168","0.326","0.291","-0.035","6.96","6.22","-0.74","net_exporter","31","49","804"
"United Arab Emirates","ARE","2008","Middle East","6302669","0.155","0.221","0.066","24.6","35.12","10.52","net_importer","54","24","784"
"United Kingdom","GBR","2008","Europe","62027303","0.545","0.732","0.187","8.79","11.79","3","net_importer","-2","54","826"
"United States","USA","2008","North America","304970325","5.919","6.218","0.299","19.41","20.39","0.98","net_importer","-98","39","840"
"Vietnam","VNM","2008","Asia","85175789","0.114","0.09","-0.024","1.34","1.06","-0.28","net_exporter","108","16","704"
"Argentina","ARG","2009","South America","40854832","0.178","0.163","-0.015","4.37","3.99","-0.38","net_exporter","-64","-34","032"
"Australia","AUS","2009","Oceania","21783014","0.407","0.399","-0.008","18.68","18.3","-0.38","net_exporter","134","-25","036"
"Austria","AUT","2009","Europe","8345073","0.067","0.091","0.024","8.06","10.93","2.87","net_importer","14","47","040"
"Bangladesh","BGD","2009","Asia","150873716","0.049","0.05","0.001","0.33","0.33","0","balanced","90","24","050"
"Belgium","BEL","2009","Europe","10812936","0.108","0.192","0.084","9.97","17.8","7.83","net_importer","4","51","056"
"Brazil","BRA","2009","South America","192079958","0.39","0.408","0.018","2.03","2.12","0.09","balanced","-52","-10","076"
"Canada","CAN","2009","North America","33826370","0.541","0.585","0.044","16","17.29","1.29","net_importer","-106","56","124"
"Chile","CHL","2009","South America","17009730","0.066","0.066","0","3.88","3.87","-0.01","balanced","-71","-30","152"
"China","CHN","2009","Asia","1342522717","7.881","6.653","-1.228","5.87","4.96","-0.91","net_exporter","104","35","156"
"Czechia","CZE","2009","Europe","10420985","0.115","0.116","0.001","11.03","11.12","0.09","balanced","16","49","203"
"Denmark","DNK","2009","Europe","5523169","0.049","0.066","0.017","8.84","12.01","3.17","net_importer","10","56","208"
"Egypt","EGY","2009","Africa","87501635","0.205","0.199","-0.006","2.35","2.28","-0.07","balanced","30","27","818"
"Finland","FIN","2009","Europe","5338854","0.056","0.074","0.018","10.47","13.93","3.46","net_importer","26","64","246"
"France","FRA","2009","Europe","63106460","0.371","0.512","0.141","5.89","8.12","2.23","net_importer","2","46","250"
"Germany","DEU","2009","Europe","80935276","0.79","0.98","0.19","9.76","12.11","2.35","net_importer","10","51","276"
"Greece","GRC","2009","Europe","11108067","0.104","0.124","0.02","9.39","11.17","1.78","net_importer","22","39","300"
"Hungary","HUN","2009","Europe","10001381","0.051","0.068","0.017","5.15","6.76","1.61","net_importer","20","47","348"
"India","IND","2009","Asia","1225524764","1.613","1.522","-0.091","1.32","1.24","-0.08","balanced","78","22","356"
"Indonesia","IDN","2009","Asia","243220024","0.399","0.386","-0.013","1.64","1.59","-0.05","balanced","113","-2","360"
"Iran","IRN","2009","Middle East","76457831","0.543","0.515","-0.028","7.11","6.74","-0.37","net_exporter","53","32","364"
"Ireland","IRL","2009","Europe","4533750","0.042","0.05","0.008","9.3","11.02","1.72","net_importer","-8","53","372"
"Israel","ISR","2009","Middle East","7206096","0.064","0.079","0.015","8.86","10.9","2.04","net_importer","35","31","376"
